Time [s],Channel 2
10.582117000,1
10.582215125,0
10.582317000,1
10.582415167,0
10.582517042,1
10.582615167,0
10.582717083,1
10.582815208,0
10.582917125,1
10.583015250,0
10.583117125,1
10.583215292,0
10.583317167,1
10.583415333,0
10.583517208,1
10.583615333,0
10.583717250,1
10.583815375,0
10.583927042,1
10.584014375,0
10.584116083,1
10.584214250,0
10.584318083,1
10.584414458,0
10.584516417,1
10.584614542,0
10.584735542,1
10.584847833,0
10.584949750,1
10.585047875,0
10.585148667,1
10.585253125,0
10.585351458,1
10.585448583,0
10.585557167,1
10.585650042,0
10.585757917,1
10.585851583,0
10.585952958,1
10.585953000,0
10.585953417,1
10.586051583,0
10.586152125,1
10.586255000,0
10.586358458,1
10.586452083,0
10.586553792,1
10.586650417,0
10.586758333,1
10.586852042,0
10.586954000,1
10.587050625,0
10.587157375,1
10.587255750,0
10.587354125,1
10.587452208,0
10.587554042,1
10.587650625,0
10.587758542,1
10.587850458,0
10.587958417,1
10.588052000,0
10.588152542,1
10.588256625,0
10.588336542,1
10.588434792,0
10.588536708,1
10.588633375,0
10.588719167,1
10.588816792,0
10.588918667,1
10.589016792,0
10.589118625,1
10.589216792,0
10.589318708,1
10.589416833,0
10.589518708,1
10.589616833,0
10.589718750,1
10.589816875,0
10.589918792,1
10.590016917,0
10.590118833,1
10.590216958,0
10.590318875,1
10.590417000,0
10.590518958,1
10.590617042,0
10.590718958,1
10.590817083,0
10.590919000,1
10.591017083,0
10.591119000,1
10.591217125,0
10.591319042,1
10.591417208,0
10.591519125,1
10.591617208,0
10.591719083,1
10.591817250,0
10.591919167,1
10.592017292,0
10.592119167,1
10.592217292,0
10.592319208,1
10.592417375,0
10.592519250,1
10.592617417,0
10.592719250,1
10.592817417,0
10.592919333,1
10.593017458,0
10.593120958,1
10.593219000,0
10.593320833,1
10.593419042,0
10.593520083,1
10.593618250,0
10.593720167,1
10.593818292,0
10.593920208,1
10.594018333,0
10.594120208,1
10.594218375,0
10.594320292,1
10.594418417,0
10.594520250,1
10.594618417,0
10.594720375,1
10.594818458,0
10.594920375,1
10.595018500,0
10.595120417,1
10.595218542,0
10.595320458,1
10.595418583,0
10.595520500,1
10.595618625,0
10.595720500,1
10.595818667,0
10.595920583,1
10.596018708,0
10.596120583,1
10.596218708,0
10.596320583,1
10.596418792,0
10.596520667,1
10.596618792,0
10.596720667,1
10.596818833,0
10.596920708,1
10.597018875,0
10.597120708,1
10.597218875,0
10.597320792,1
10.597418958,0
10.597520542,1
10.597618958,0
10.597720833,1
10.597819000,0
10.597920917,1
10.598019042,0
10.598120875,1
10.598219083,0
10.598320958,1
10.598419125,0
10.598521000,1
10.598619125,0
