Time [s],Channel 0,Channel 1,Channel 2,Channel 3
12.801487042,0,0,0,0
12.801513500,0,0,1,0
12.829732625,1,0,1,0
12.830395208,1,0,1,1
12.830415625,1,0,0,1
12.850931958,0,0,0,1
12.851600125,0,0,0,0
12.851621875,0,0,1,0
12.879732750,1,0,1,0
12.880308750,1,0,1,1
12.880324292,1,0,0,1
12.900932042,0,0,0,1
12.901613625,0,0,0,0
12.901630750,0,0,1,0
12.929732792,1,0,1,0
12.930422083,1,0,1,1
12.930433333,1,0,0,1
12.950932125,0,0,0,1
12.951627083,0,0,0,0
12.951639583,0,0,1,0
12.979732875,1,0,1,0
12.980435667,1,0,1,1
12.980442208,1,0,0,1
13.000932208,0,0,0,1
13.001540667,0,0,0,0
13.001548083,0,0,1,0
13.029732958,1,0,1,0
13.030448875,1,0,1,1
13.030451083,1,0,0,1
13.050932292,0,0,0,1
13.051557417,0,0,1,1
13.051654000,0,0,1,0
13.079733042,1,0,1,0
13.080360292,1,0,0,0
13.080362625,1,0,0,1
13.100932375,0,0,0,1
13.101566042,0,0,1,1
13.101568125,0,0,1,0
13.129733125,1,0,1,0
13.130368708,1,0,0,0
13.130376000,1,0,0,1
13.150932458,0,0,0,1
13.151574833,0,0,1,1
13.151584125,0,0,1,0
13.179733208,1,0,1,0
13.180377500,1,0,0,0
13.180389542,1,0,0,1
13.200932542,0,0,0,1
13.201484125,0,0,1,1
13.201494333,0,0,1,0
13.229733333,1,0,1,0
13.230386333,1,0,0,0
13.230403208,1,0,0,1
13.250932625,0,0,0,1
13.251592042,0,0,1,1
13.251592083,0,0,0,1
13.251592333,0,0,1,1
13.251607958,0,0,1,0
13.279733375,1,0,1,0
13.280396083,1,0,0,0
13.280416500,1,0,0,1
13.300932708,0,0,0,1
13.301601458,0,0,1,1
13.301621417,0,0,1,0
13.329733458,1,0,1,0
13.330329708,1,0,1,1
13.330404083,1,0,0,1
13.350932792,0,0,0,1
13.351481542,0,1,0,1
13.351510458,0,1,1,1
13.351534708,0,1,1,0
13.379733500,1,1,1,0
13.380412917,1,1,0,0
13.380443375,1,1,0,1
13.400932875,0,1,0,1
13.401595625,0,0,0,1
